"Bilateral Estimates of Migrant Stocks in 2013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Destination country (across)                                                              -                                                                                        Source country (down) ","Afghanistan","Albania","Algeria","American Samoa","Andorra","Angola","Antigua and Barbuda","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas, The","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia","Bosnia and Herzegovina","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cabo Verde","Cambodia","Cameroon","Canada","Cayman Islands","Central African Republic","Chad","Channel Islands","Chile","China","Colombia","Comoros","Congo, Dem. Rep.","Congo, Rep.","Costa Rica","Cote d'Ivoire","Croatia","Cuba","Curacao","Cyprus","Czech Republic","Denmark","Djibouti","Dominica","Dominican Republic","Ecuador","Egypt, Arab Rep.","El Salvador","Equatorial Guinea","Eritrea","Estonia","Ethiopia","Faeroe Islands","Fiji","Finland","France","French Polynesia","Gabon","Gambia, The","Georgia","Germany","Ghana","Greece","Greenland","Grenada","Guam","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Honduras","Hong Kong SAR, China","Hungary","Iceland","India","Indonesia","Iran, Islamic Rep.","Iraq","Ireland","Isle of Man","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea, Dem. Rep.","Korea, Rep.","Kosovo","Kuwait","Kyrgyz Republic","Lao PDR","Latvia","Lebanon","Lesotho","Liberia","Libya","Liechtenstein","Lithuania","Luxembourg","Macao SAR, China","Macedonia, FYR","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Mauritania","Mauritius","Mexico","Micronesia, Fed. Sts.","Moldova","Monaco","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Nepal","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","Northern Mariana Islands","Norway","Oman","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Qatar","Romania","Russian Federation","Rwanda","Samoa","San Marino","Sao Tome and Principe","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Sint Maarten (Dutch part)","Slovak Republic","Slovenia","Solomon Islands","Somalia","South Africa","South Sudan","Spain","Sri Lanka","St. Kitts and Nevis","St. Lucia","St. Martin (French part)","St. Vincent and the Grenadines","Sudan","Suriname","Swaziland","Sweden","Switzerland","Syrian Arab Republic","Tajikistan","Tanzania","Thailand","Timor-Leste","Togo","Tonga","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","Turks and Caicos Islands","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United States","Uruguay","Uzbekistan","Vanuatu","Venezuela, RB","Vietnam","Virgin Islands (U.S.)","West Bank and Gaza","Yemen, Rep.","Zambia","Zimbabwe","Other North","Other South","World"
"Cuba","0.0","0.0","0.0","0.0","0.0","0.0","20.0","3461.0","0.0","131.0","739.0","858.0","0.0","281.0","0.0","0.0","0.0","0.0","1244.0","0.0","0.0","26.0","0.0","1472.0","0.0","0.0","2105.0","0.0","272.0","0.0","0.0","86.0","0.0","0.0","10696.0","972.0","0.0","0.0","0.0","3783.0","359.0","1772.0","0.0","0.0","397.0","8725.0","0.0","0.0","0.0","229.0","42.0","664.0","470.0","0.0","11.0","9435.0","4365.0","5.0","127.0","0.0","0.0","17.0","0.0","3.0","0.0","419.0","4624.0","0.0","0.0","0.0","0.0","13581.0","0.0","460.0","0.0","0.0","0.0","629.0","39.0","0.0","0.0","2399.0","439.0","0.0","664.0","42.0","0.0","0.0","0.0","0.0","188.0","0.0","0.0","31930.0","2697.0","0.0","8.0","0.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","55.0","0.0","0.0","0.0","0.0","0.0","21.0","25.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","1.0","0.0","8.0","0.0","13920.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1286.0","0.0","0.0","967.0","0.0","0.0","0.0","919.0","0.0","0.0","0.0","2424.0","0.0","255.0","1053.0","10.0","242.0","1675.0","17392.0","0.0","5.0","2156.0","0.0","0.0","21.0","0.0","0.0","0.0","0.0","41.0","0.0","0.0","820.0","108.0","108.0","0.0","0.0","828.0","0.0","111919.0","0.0","24.0","23.0","0.0","0.0","0.0","0.0","0.0","2585.0","3210.0","0.0","0.0","0.0","0.0","110.0","0.0","0.0","0.0","0.0","63.0","0.0","0.0","0.0","15.0","702.0","0.0","0.0","1201164.0","456.0","0.0","0.0","9309.0","0.0","0.0","0.0","0.0","0.0","0.0","281.0","0.0","1485105.0"
"Curacao","0.0","0.0","0.0","0.0","0.0","0.0","15.0","0.0","0.0","0.0","121.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","64.0","0.0","0.0","420.0","18.0","0.0","0.0","0.0","5.0","0.0","89.0","0.0","0.0","0.0","3.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","45.0","14.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","19.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","65383.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","27.0","0.0","0.0","0.0","0.0","7.0","69.0","0.0","0.0","0.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1411.0","0.0","0.0","0.0","0.0","7889.0","0.0","0.0","0.0","50.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3586.0","0.0","0.0","0.0","643.0","0.0","211.0","0.0","0.0","0.0","0.0","8.0","0.0","80143.0"
"Cyprus","0.0","0.0","0.0","0.0","0.0","0.0","0.0","327.0","0.0","0.0","22393.0","316.0","0.0","0.0","0.0","0.0","0.0","0.0","488.0","0.0","0.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","257.0","0.0","0.0","0.0","0.0","0.0","4845.0","0.0","0.0","0.0","0.0","15.0","0.0","5.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","174.0","179.0","0.0","0.0","8.0","11.0","55.0","0.0","0.0","0.0","12.0","0.0","0.0","0.0","153.0","1047.0","0.0","0.0","0.0","0.0","1192.0","0.0","11496.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","300.0","4.0","0.0","0.0","0.0","0.0","289.0","0.0","0.0","714.0","0.0","0.0","115.0","0.0","11.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20.0","0.0","0.0","0.0","0.0","0.0","12.0","58.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","53.0","0.0","0.0","0.0","15.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","484.0","0.0","0.0","3.0","0.0","0.0","0.0","168.0","0.0","0.0","0.0","4.0","0.0","0.0","1.0","0.0","223.0","31.0","0.0","0.0","291.0","695.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","79.0","32.0","0.0","0.0","2655.0","0.0","317.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","658.0","374.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15388.0","0.0","0.0","0.0","0.0","67.0","0.0","66845.0","15861.0","4.0","0.0","0.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","148769.0"
"Czech Republic","0.0","0.0","0.0","0.0","0.0","0.0","0.0","677.0","0.0","0.0","14971.0","41600.0","0.0","4.0","0.0","0.0","0.0","0.0","4612.0","0.0","0.0","12.0","0.0","38.0","50.0","0.0","452.0","0.0","974.0","0.0","0.0","0.0","0.0","0.0","25393.0","0.0","0.0","0.0","0.0","182.0","359.0","39.0","0.0","0.0","0.0","76.0","0.0","0.0","189.0","0.0","794.0","0.0","1123.0","0.0","0.0","17.0","461.0","84.0","1.0","0.0","0.0","61.0","0.0","11.0","0.0","714.0","9240.0","0.0","0.0","0.0","0.0","146677.0","0.0","1293.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1733.0","177.0","0.0","0.0","0.0","0.0","6084.0","0.0","0.0","9125.0","0.0","0.0","21.0","0.0","84.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","159.0","0.0","0.0","0.0","0.0","13.0","79.0","821.0","0.0","53.0","0.0","0.0","106.0","0.0","0.0","67.0","0.0","0.0","0.0","378.0","0.0","0.0","0.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","6393.0","0.0","1287.0","0.0","0.0","0.0","0.0","1994.0","0.0","0.0","0.0","34.0","0.0","39.0","107.0","17.0","4836.0","257.0","18.0","0.0","583.0","10903.0","0.0","0.0","2.0","0.0","0.0","0.0","1041.0","1.0","0.0","0.0","0.0","86400.0","696.0","0.0","0.0","1076.0","0.0","9087.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1586.0","14017.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1518.0","0.0","0.0","0.0","0.0","7473.0","0.0","40959.0","64354.0","20.0","375.0","0.0","306.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","524399.0"
"Denmark","0.0","0.0","171.0","0.0","105.0","0.0","0.0","434.0","0.0","1.0","11791.0","1383.0","0.0","9.0","0.0","0.0","0.0","189.0","6300.0","0.0","0.0","24.0","41.0","55.0","3.0","360.0","500.0","0.0","66.0","0.0","0.0","0.0","0.0","0.0","20093.0","26.0","0.0","0.0","0.0","289.0","1759.0","89.0","0.0","0.0","0.0","147.0","0.0","70.0","3.0","0.0","199.0","586.0","0.0","0.0","0.0","96.0","266.0","318.0","6.0","0.0","0.0","122.0","0.0","0.0","0.0","1027.0","6733.0","0.0","0.0","0.0","0.0","28522.0","0.0","305.0","5207.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.0","0.0","395.0","3100.0","0.0","0.0","0.0","0.0","986.0","0.0","1950.0","3818.0","0.0","647.0","44.0","0.0","1378.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","210.0","0.0","0.0","0.0","756.0","24.0","259.0","2296.0","0.0","0.0","0.0","0.0","366.0","0.0","0.0","84.0","0.0","0.0","0.0","290.0","0.0","0.0","156.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3460.0","0.0","1410.0","55.0","0.0","0.0","0.0","24433.0","0.0","0.0","0.0","127.0","0.0","21.0","285.0","445.0","957.0","408.0","0.0","0.0","111.0","225.0","0.0","0.0","0.0","0.0","0.0","0.0","98.0","3.0","0.0","0.0","0.0","113.0","81.0","0.0","0.0","2483.0","0.0","12176.0","24.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","43198.0","5916.0","0.0","129.0","0.0","3764.0","0.0","0.0","0.0","0.0","0.0","4985.0","0.0","0.0","0.0","173.0","30.0","0.0","21933.0","34126.0","40.0","131.0","0.0","118.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0","265529.0"
"Djibouti","0.0","0.0","317.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","139.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","598.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","11.0","21.0","0.0","0.0","0.0","0.0","587.0","0.0","0.0","0.0","0.0","3827.0","0.0","0.0","8.0","6491.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","106.0","0.0","0.0","7.0","0.0","799.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1397.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","102.0","0.0","0.0","0.0","0.0","0.0","0.0","52.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","269.0","100.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","24.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14888.0"
"Dominica","0.0","0.0","0.0","0.0","0.0","0.0","4624.0","13.0","0.0","102.0","32.0","49.0","0.0","41.0","0.0","0.0","607.0","0.0","0.0","0.0","0.0","28.0","0.0","3.0","0.0","0.0","20.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","3387.0","0.0","0.0","0.0","0.0","36.0","0.0","48.0","0.0","0.0","0.0","17.0","0.0","0.0","10.0","105.0","0.0","2.0","14.0","0.0","0.0","32.0","18.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","8243.0","0.0","0.0","0.0","0.0","0.0","0.0","80.0","0.0","112.0","0.0","0.0","0.0","0.0","44.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","277.0","207.0","0.0","1.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","122.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","23.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","79.0","0.0","0.0","3.0","0.0","0.0","0.0","18.0","0.0","0.0","0.0","48.0","0.0","0.0","6.0","0.0","0.0","17.0","1563.0","0.0","0.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1480.0","6.0","2.0","0.0","0.0","0.0","0.0","805.0","0.0","185.0","219.0","0.0","170.0","0.0","0.0","0.0","44.0","361.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.0","0.0","0.0","0.0","0.0","0.0","0.0","5043.0","35425.0","3.0","0.0","0.0","1.0","0.0","6547.0","0.0","0.0","0.0","0.0","6147.0","278.0","76787.0"
"Dominican Republic","0.0","0.0","0.0","0.0","0.0","0.0","1740.0","10406.0","0.0","4113.0","150.0","3047.0","0.0","220.0","0.0","0.0","0.0","0.0","1302.0","0.0","0.0","101.0","0.0","92.0","0.0","0.0","317.0","0.0","22.0","0.0","0.0","0.0","0.0","0.0","7742.0","87.0","0.0","0.0","0.0","344.0","0.0","374.0","0.0","0.0","0.0","2433.0","0.0","0.0","125.0","5599.0","13.0","63.0","160.0","0.0","0.0","0.0","517.0","0.0","71.0","0.0","0.0","1.0","0.0","0.0","0.0","152.0","4912.0","0.0","0.0","0.0","0.0","9507.0","0.0","697.0","0.0","0.0","0.0","104.0","0.0","0.0","0.0","4799.0","97.0","0.0","38.0","31.0","0.0","0.0","0.0","0.0","38.0","0.0","0.0","39712.0","0.0","0.0","3.0","0.0","53.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","38.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1843.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8569.0","0.0","0.0","71.0","0.0","0.0","0.0","761.0","0.0","0.0","0.0","6944.0","0.0","16.0","214.0","17.0","22.0","70.0","67415.0","0.0","3.0","22.0","0.0","0.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3510.0","15.0","288.0","0.0","0.0","0.0","0.0","155000.0","0.0","516.0","46.0","0.0","0.0","0.0","0.0","0.0","674.0","10590.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.0","0.0","766.0","0.0","0.0","8.0","0.0","0.0","991046.0","50.0","0.0","0.0","12078.0","127.0","5958.0","0.0","0.0","0.0","0.0","8768.0","859.0","1375512.0"
"Ecuador","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10887.0","0.0","171.0","2110.0","645.0","0.0","33.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","70.0","0.0","818.0","0.0","0.0","1753.0","0.0","14.0","0.0","0.0","0.0","0.0","0.0","15819.0","0.0","0.0","0.0","0.0","21900.0","290.0","13857.0","0.0","0.0","0.0","1587.0","0.0","0.0","63.0","0.0","11.0","166.0","581.0","0.0","0.0","1313.0","0.0","17.0","122.0","0.0","0.0","6.0","0.0","0.0","0.0","189.0","4156.0","0.0","0.0","0.0","0.0","5880.0","0.0","116.0","0.0","0.0","0.0","159.0","0.0","0.0","0.0","0.0","331.0","0.0","120.0","33.0","0.0","0.0","0.0","0.0","102.0","0.0","0.0","92228.0","0.0","0.0","0.0","0.0","11.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","2530.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2030.0","0.0","0.0","115.0","0.0","0.0","0.0","713.0","0.0","0.0","0.0","2294.0","0.0","94.0","4639.0","462.0","49.0","461.0","931.0","0.0","3.0","234.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","26.0","16.0","0.0","0.0","0.0","0.0","455000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2272.0","4977.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","35.0","0.0","5197.0","472855.0","310.0","0.0","0.0","29994.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1160820.0"
"Egypt, Arab Rep.","0.0","435.0","0.0","0.0","0.0","0.0","10.0","274.0","0.0","4.0","44079.0","14521.0","0.0","7.0","65607.0","0.0","0.0","0.0","2118.0","0.0","0.0","16.0","0.0","18.0","0.0","0.0","3157.0","0.0","139.0","0.0","0.0","0.0","0.0","0.0","47302.0","0.0","74.0","0.0","0.0","100.0","1294.0","137.0","0.0","0.0","0.0","28.0","0.0","0.0","7.0","0.0","6105.0","1172.0","1659.0","0.0","1.0","8.0","124.0","0.0","1.0","0.0","0.0","37.0","0.0","0.0","0.0","985.0","30413.0","0.0","0.0","0.0","0.0","19013.0","45.0","11026.0","0.0","0.0","0.0","31.0","0.0","0.0","0.0","0.0","1.0","0.0","842.0","32.0","0.0","0.0","0.0","11544.0","1328.0","0.0","21469.0","103111.0","0.0","1850.0","276950.0","0.0","3134.0","0.0","0.0","0.0","0.0","489023.0","0.0","0.0","40.0","102507.0","0.0","0.0","20590.0","0.0","44.0","27.0","0.0","1910.0","57.0","0.0","465.0","44.0","0.0","627.0","0.0","489.0","0.0","225.0","0.0","0.0","0.0","0.0","148.0","0.0","0.0","0.0","0.0","0.0","12526.0","0.0","1275.0","1.0","0.0","18263.0","0.0","995.0","41365.0","0.0","0.0","62.0","0.0","0.0","26.0","162.0","485.0","434.0","47.0","143960.0","74.0","1028.0","0.0","0.0","5.0","0.0","1298388.0","0.0","0.0","10.0","0.0","0.0","0.0","124.0","167.0","0.0","0.0","3403.0","4421.0","4073.0","0.0","1.0","0.0","0.0","0.0","13827.0","0.0","0.0","5396.0","6340.0","0.0","0.0","0.0","56.0","0.0","0.0","0.0","0.0","0.0","1141.0","0.0","0.0","0.0","0.0","147.0","309300.0","30289.0","171985.0","67.0","0.0","0.0","155.0","0.0","0.0","18524.0","11086.0","46.0","0.0","0.0","1.0","3386059.0"
"El Salvador","0.0","0.0","157.0","0.0","0.0","0.0","0.0","477.0","0.0","3.0","11694.0","67.0","0.0","61.0","0.0","0.0","0.0","0.0","0.0","11223.0","0.0","10.0","0.0","109.0","0.0","0.0","232.0","0.0","7.0","0.0","0.0","0.0","0.0","0.0","49871.0","0.0","0.0","0.0","0.0","289.0","0.0","373.0","0.0","0.0","0.0","9714.0","0.0","0.0","28.0","0.0","13.0","29.0","83.0","0.0","0.0","506.0","762.0","291.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","59.0","1172.0","0.0","0.0","0.0","0.0","601.0","0.0","53.0","0.0","0.0","0.0","18295.0","0.0","0.0","0.0","0.0","6353.0","0.0","14.0","13.0","0.0","0.0","0.0","0.0","54.0","0.0","0.0","10749.0","199.0","0.0","2.0","0.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","694.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9299.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","368.0","0.0","0.0","2510.0","0.0","0.0","0.0","191.0","0.0","0.0","0.0","2768.0","0.0","47.0","127.0","1.0","1.0","89.0","586.0","0.0","2.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","8907.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2825.0","732.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","1371767.0","54.0","0.0","0.0","829.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","1525397.0"
"Equatorial Guinea","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.0","0.0","0.0","11.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","4638.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","56.0","0.0","0.0","0.0","0.0","0.0","0.0","3817.0","34.0","0.0","238.0","0.0","0.0","3.0","170.0","3.0","0.0","0.0","1173.0","1.0","0.0","0.0","6.0","0.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.0","427.0","0.0","82825.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","117.0","0.0","0.0","0.0","0.0","1297.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","43.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","49.0","0.0","0.0","0.0","0.0","9087.0","0.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","10.0","0.0","0.0","227.0","0.0","0.0","0.0","101.0","0.0","0.0","0.0","250.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20796.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","43.0","44.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","17.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","513.0","0.0","0.0","0.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","126069.0"
"Eritrea","0.0","0.0","440.0","0.0","0.0","0.0","0.0","10.0","0.0","0.0","3223.0","101.0","0.0","0.0","1605.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","7452.0","0.0","0.0","0.0","0.0","3.0","0.0","8.0","0.0","0.0","0.0","5.0","0.0","0.0","2.0","0.0","5.0","6.0","319.0","0.0","0.0","0.0","0.0","817.0","0.0","0.0","0.0","0.0","29438.0","0.0","0.0","81.0","437.0","0.0","0.0","0.0","0.0","10865.0","0.0","180.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.0","7.0","0.0","0.0","0.0","177.0","167.0","0.0","0.0","13221.0","0.0","0.0","65.0","0.0","2456.0","0.0","0.0","0.0","0.0","4458.0","0.0","0.0","0.0","0.0","0.0","0.0","1944.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","26.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1585.0","0.0","0.0","0.0","0.0","0.0","0.0","12446.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","26.0","2.0","0.0","3519.0","0.0","6.0","0.0","0.0","2.0","0.0","39834.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","0.0","34.0","941.0","2851.0","0.0","0.0","0.0","0.0","0.0","0.0","144170.0","0.0","0.0","16592.0","8759.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","567.0","0.0","0.0","0.0","0.0","3529.0","0.0","17404.0","20172.0","36565.0","1.0","0.0","0.0","23.0","0.0","0.0","0.0","842.0","0.0","0.0","0.0","0.0","387410.0"
